sNo	Company Name	URL
1	ABFRL	https://www.tickertape.in/stocks/aditya-birla-fashion-and-retail-ADIA
2	ACC	https://www.tickertape.in/stocks/acc-ACC
3	ADANIGREEN	https://www.tickertape.in/stocks/adani-green-energy-ADNA
4	ADANITRANS	https://www.tickertape.in/stocks/adani-transmission-ADAI
5	ABCAPITAL	https://www.tickertape.in/stocks/aditya-birla-capital-ADTB
6	ADANIPORTS	https://www.tickertape.in/stocks/adani-ports-and-special-economic-zone-APSE
7	ABB	https://www.tickertape.in/stocks/abb-india-ABB
8	ADANIPOWER	https://www.tickertape.in/stocks/adani-power-ADAN
9	ADANIENT	https://www.tickertape.in/stocks/adani-enterprises-ADEL
10	ABBOTINDIA	https://www.tickertape.in/stocks/abbott-india-ABOT
11	ATGL	https://www.tickertape.in/stocks/adani-gas-ADAG
12	APOLLOTYRE	https://www.tickertape.in/stocks/apollo-tyres-APLO
13	AMBUJACEM	https://www.tickertape.in/stocks/ambuja-cements-ABUJ
14	ALKEM	https://www.tickertape.in/stocks/alkem-laboratories-ALKE
15	APOLLOHOSP	https://www.tickertape.in/stocks/apollo-hospitals-enterprise-APLH
16	ASTRAL	https://www.tickertape.in/stocks/astral-poly-technik-ASPT
17	AXISBANK	https://www.tickertape.in/stocks/axis-bank-AXBK
18	AUROPHARMA	https://www.tickertape.in/stocks/aurobindo-pharma-ARBN
19	ASIANPAINT	https://www.tickertape.in/stocks/asian-paints-ASPN
20	AUBANK	https://www.tickertape.in/stocks/au-small-finance-bank-AUFI
21	ASHOKLEY	https://www.tickertape.in/stocks/ashok-leyland-ASOK
22	BHARATFORG	https://www.tickertape.in/stocks/bharat-forge-BFRG
23	BAJAJFINSV	https://www.tickertape.in/stocks/bajaj-finserv-BJFS
24	BERGEPAINT	https://www.tickertape.in/stocks/berger-paints-india-BRGR
25	BATAINDIA	https://www.tickertape.in/stocks/bata-india-BATA
26	BAJAJ-AUTO	https://www.tickertape.in/stocks/bajaj-auto-BAJA
27	BALKRISIND	https://www.tickertape.in/stocks/balkrishna-industries-BLKI
28	BANDHANBNK	https://www.tickertape.in/stocks/bandhan-bank-BANH
29	BANKINDIA	https://www.tickertape.in/stocks/bank-of-india-BOI
30	BANKBARODA	https://www.tickertape.in/stocks/bank-of-baroda-BOB
31	BAJFINANCE	https://www.tickertape.in/stocks/bajaj-finance-BJFN
32	BAJAJHLDNG	https://www.tickertape.in/stocks/bajaj-holdings-and-investment-BJAT
33	BEL	https://www.tickertape.in/stocks/bharat-electronics-BAJE
34	BRITANNIA	https://www.tickertape.in/stocks/britannia-industries-BRIT
35	BIOCON	https://www.tickertape.in/stocks/biocon-BION
36	BHEL	https://www.tickertape.in/stocks/bharat-heavy-electricals-BHEL
37	BOSCHLTD	https://www.tickertape.in/stocks/bosch-BOSH
38	BHARTIARTL	https://www.tickertape.in/stocks/bharti-airtel-BRTI
39	CANBK	https://www.tickertape.in/stocks/canara-bank-CNBK
40	BPCL	https://www.tickertape.in/stocks/bharat-petroleum-corporation-BPCL
41	ZYDUSLIFE	https://www.tickertape.in/stocks/cadila-healthcare-CADI
42	CGPOWER	https://www.tickertape.in/stocks/cg-power-and-industrial-solutions-CGPO
43	CIPLA	https://www.tickertape.in/stocks/cipla-CIPL
44	COALINDIA	https://www.tickertape.in/stocks/coal-india-COAL
45	COROMANDEL	https://www.tickertape.in/stocks/coromandel-international-CORF
46	COFORGE	https://www.tickertape.in/stocks/coforge-COFO
47	COLPAL	https://www.tickertape.in/stocks/colgate-palmolive-india-COLG
48	CONCOR	https://www.tickertape.in/stocks/container-corporation-of-india-CCRI
49	CHOLAFIN	https://www.tickertape.in/stocks/cholamandalam-investment-and-finance-company-CHLA
50	DABUR	https://www.tickertape.in/stocks/dabur-india-DABU
51	DALBHARAT	https://www.tickertape.in/stocks/dalmia-bharat-DALB
52	DEEPAKNTR	https://www.tickertape.in/stocks/deepak-nitrite-DPNT
53	CUMMINSIND	https://www.tickertape.in/stocks/cummins-india-CUMM
54	CROMPTON	https://www.tickertape.in/stocks/crompton-greaves-consumer-electricals-CROP
55	DMART	https://www.tickertape.in/stocks/avenue-supermarts-AVEU
56	DLF	https://www.tickertape.in/stocks/dlf-DLF
57	DIXON	https://www.tickertape.in/stocks/dixon-technologies-india-DIXO
58	DRREDDY	https://www.tickertape.in/stocks/drreddys-laboratories-REDY
59	DIVISLAB	https://www.tickertape.in/stocks/divis-laboratories-DIVI
60	EICHERMOT	https://www.tickertape.in/stocks/eicher-motors-EICH
61	FLUOROCHEM	https://www.tickertape.in/stocks/gujarat-fluorochemicals-GUJL
62	ESCORTS	https://www.tickertape.in/stocks/escorts-ESCO
63	GAIL	https://www.tickertape.in/stocks/gail-india-GAIL
64	FORTIS	https://www.tickertape.in/stocks/fortis-healthcare-FOHE
65	FEDERALBNK	https://www.tickertape.in/stocks/federal-bank-FED
66	GODREJCP	https://www.tickertape.in/stocks/godrej-consumer-products-GOCP
67	GODREJPROP	https://www.tickertape.in/stocks/godrej-properties-GODR
68	HAL	https://www.tickertape.in/stocks/hindustan-aeronautics-HIAE
69	GUJGASLTD	https://www.tickertape.in/stocks/gujarat-gas-GGAS
70	HAVELLS	https://www.tickertape.in/stocks/havells-india-HVEL
71	GRASIM	https://www.tickertape.in/stocks/grasim-industries-GRAS
72	HINDALCO	https://www.tickertape.in/stocks/hindalco-industries-HALC
73	HINDPETRO	https://www.tickertape.in/stocks/hindustan-petroleum-corp-HPCL
74	HDFC	https://www.tickertape.in/stocks/housing-development-finance-corporation-HDFC
75	HINDZINC	https://www.tickertape.in/stocks/hindustan-zinc-HZNC
76	HDFCBANK	https://www.tickertape.in/stocks/hdfc-bank-HDBK
77	HDFCLIFE	https://www.tickertape.in/stocks/hdfc-life-insurance-company-HDFL
78	HCLTECH	https://www.tickertape.in/stocks/hcl-technologies-HCLT
79	HINDUNILVR	https://www.tickertape.in/stocks/hindustan-unilever-HLL
80	HEROMOTOCO	https://www.tickertape.in/stocks/hero-motocorp-HROM
81	HDFCAMC	https://www.tickertape.in/stocks/hdfc-asset-management-company-HDFA
82	HONAUT	https://www.tickertape.in/stocks/honeywell-automation-india-HONE
83	ICICIBANK	https://www.tickertape.in/stocks/icici-bank-ICBK
84	IDEA	https://www.tickertape.in/stocks/vodafone-idea-VODA
85	IDFCFIRSTB	https://www.tickertape.in/stocks/idfc-first-bank-IDFB
86	IGL	https://www.tickertape.in/stocks/indraprastha-gas-IGAS
87	INDIANB	https://www.tickertape.in/stocks/indian-bank-INBA
88	ICICIGI	https://www.tickertape.in/stocks/icici-lombard-general-insurance-company-ICIL
89	INDIGO	https://www.tickertape.in/stocks/interglobe-aviation-INGL
90	ICICIPRULI	https://www.tickertape.in/stocks/icici-prudential-life-insurance-company-ICIR
91	INDHOTEL	https://www.tickertape.in/stocks/indian-hotels-company-IHTL
92	IRCTC	https://www.tickertape.in/stocks/indian-railway-catering-and-tourism-corporation-INIR
93	ITC	https://www.tickertape.in/stocks/itc-ITC
94	INDUSTOWER	https://www.tickertape.in/stocks/bharti-infratel-BHRI
95	INFY	https://www.tickertape.in/stocks/infosys-INFY
96	INDUSINDBK	https://www.tickertape.in/stocks/indusind-bank-INBK
97	IOC	https://www.tickertape.in/stocks/indian-oil-corporation-IOC
98	IPCALAB	https://www.tickertape.in/stocks/ipca-laboratories-IPCA
99	JUBLFOOD	https://www.tickertape.in/stocks/jubilant-foodworks-JUBI
100	JSWSTEEL	https://www.tickertape.in/stocks/jsw-steel-JSTL
101	JSWENERGY	https://www.tickertape.in/stocks/jsw-energy-JSWE
102	JINDALSTEL	https://www.tickertape.in/stocks/jindal-steel-and-power-JNSP
103	KOTAKBANK	https://www.tickertape.in/stocks/kotak-mahindra-bank-KTKM
104	LT	https://www.tickertape.in/stocks/larsen-and-toubro-LART
105	LALPATHLAB	https://www.tickertape.in/stocks/dr-lal-pathlabs-DLPA
106	M&MFIN	https://www.tickertape.in/stocks/mahindra-and-mahindra-financial-services-MMFS
107	LTIM	https://www.tickertape.in/stocks/larsen-and-toubro-infotech-LRTI
108	LAURUSLABS	https://www.tickertape.in/stocks/laurus-labs-LAUL
109	LICHSGFIN	https://www.tickertape.in/stocks/lic-housing-finance-LICH
110	M&M	https://www.tickertape.in/stocks/mahindra-and-mahindra-MAHM
111	LTTS	https://www.tickertape.in/stocks/landt-technology-services-LTEH
112	L&TFH	https://www.tickertape.in/stocks/landt-finance-holdings-LTFH
113	LUPIN	https://www.tickertape.in/stocks/lupin-LUPN
114	POONAWALLA	https://www.tickertape.in/stocks/magma-fincorp-MAGM
115	MARICO	https://www.tickertape.in/stocks/marico-MRCO
116	MAXHEALTH	https://www.tickertape.in/stocks/max-healthcare-institute-MAXE
117	MCDOWELL-N	https://www.tickertape.in/stocks/united-spirits-UNSP
118	MARUTI	https://www.tickertape.in/stocks/maruti-suzuki-india-MRTI
119	MOTHERSON	https://www.tickertape.in/stocks/motherson-sumi-systems-MOSS
120	MFSL	https://www.tickertape.in/stocks/max-financial-services-MAXI
121	MPHASIS	https://www.tickertape.in/stocks/mphasis-MBFL
122	MRF	https://www.tickertape.in/stocks/mrf-MRF
123	NHPC	https://www.tickertape.in/stocks/nhpc-NHPC
124	NAVINFLUOR	https://www.tickertape.in/stocks/navin-fluorine-international-NAFL
125	MUTHOOTFIN	https://www.tickertape.in/stocks/muthoot-finance-MUTT
126	NESTLEIND	https://www.tickertape.in/stocks/nestle-india-NEST
127	NAUKRI	https://www.tickertape.in/stocks/info-edge-india-INED
128	OIL	https://www.tickertape.in/stocks/oil-india-OILI
129	OFSS	https://www.tickertape.in/stocks/oracle-financial-services-software-ORCL
130	NMDC	https://www.tickertape.in/stocks/nmdc-NMDC
131	ONGC	https://www.tickertape.in/stocks/oil-and-natural-gas-corporation-ONGC
132	OBEROIRLTY	https://www.tickertape.in/stocks/oberoi-realty-OEBO
133	NTPC	https://www.tickertape.in/stocks/ntpc-NTPC
134	PAGEIND	https://www.tickertape.in/stocks/page-industries-PAGE
135	PFC	https://www.tickertape.in/stocks/power-finance-corporation-PWFC
136	PEL	https://www.tickertape.in/stocks/piramal-enterprises-PIRA
137	PGHH	https://www.tickertape.in/stocks/procter-and-gamble-hygiene-and-health-care-PROC
138	PIDILITIND	https://www.tickertape.in/stocks/pidilite-industries-PIDI
139	PETRONET	https://www.tickertape.in/stocks/petronet-lng-PLNG
140	PERSISTENT	https://www.tickertape.in/stocks/persistent-systems-PERS
141	PNB	https://www.tickertape.in/stocks/punjab-national-bank-PNBK
142	PIIND	https://www.tickertape.in/stocks/pi-industries-PIIL
143	PRESTIGE	https://www.tickertape.in/stocks/prestige-estates-projects-PREG
144	POWERGRID	https://www.tickertape.in/stocks/power-grid-corporation-of-india-PGRD
145	POLYCAB	https://www.tickertape.in/stocks/polycab-india-POLC
146	RELIANCE	https://www.tickertape.in/stocks/reliance-industries-RELI
147	RECLTD	https://www.tickertape.in/stocks/rec-RECM
148	RAMCOCEM	https://www.tickertape.in/stocks/ramco-cements-TRCE
149	SAIL	https://www.tickertape.in/stocks/steel-authority-of-india-SAIL
150	PATANJALI	https://www.tickertape.in/stocks/ruchi-soya-industries-RCSY
151	SBICARD	https://www.tickertape.in/stocks/sbi-cards-and-payment-services-SBIC
152	SBIN	https://www.tickertape.in/stocks/state-bank-of-india-SBI
153	SHREECEM	https://www.tickertape.in/stocks/shree-cement-SHCM
154	SBILIFE	https://www.tickertape.in/stocks/sbi-life-insurance-company-SBIL
155	SIEMENS	https://www.tickertape.in/stocks/siemens-SIEM
156	SHRIRAMFIN	https://www.tickertape.in/stocks/shriram-transport-finance-company-SRTR
157	SUNPHARMA	https://www.tickertape.in/stocks/sun-pharmaceutical-industries-SUN
158	SUNTV	https://www.tickertape.in/stocks/sun-tv-network-SUTV
159	SRF	https://www.tickertape.in/stocks/srf-SRFL
160	TATAPOWER	https://www.tickertape.in/stocks/tata-power-company-TTPW
161	TATAELXSI	https://www.tickertape.in/stocks/tata-elxsi-TTEX
162	TATASTEEL	https://www.tickertape.in/stocks/tata-steel-TISC
163	TATACHEM	https://www.tickertape.in/stocks/tata-chemicals-TTCH
164	TATACOMM	https://www.tickertape.in/stocks/tata-communications-TATA
165	SYNGENE	https://www.tickertape.in/stocks/syngene-international-SYNN
166	TATACONSUM	https://www.tickertape.in/stocks/tata-consumer-products-TACN
167	TATAMOTORS	https://www.tickertape.in/stocks/tata-motors-TAMO
168	TCS	https://www.tickertape.in/stocks/tata-consultancy-services-TCS
169	TECHM	https://www.tickertape.in/stocks/tech-mahindra-TEML
170	TITAN	https://www.tickertape.in/stocks/titan-company-TITN
171	TTML	https://www.tickertape.in/stocks/tata-teleservices-maharashtra-TTML
172	TORNTPOWER	https://www.tickertape.in/stocks/torrent-power-TOPO
173	TRIDENT	https://www.tickertape.in/stocks/trident-TRIE
174	TORNTPHARM	https://www.tickertape.in/stocks/torrent-pharmaceuticals-TORP
175	TVSMOTOR	https://www.tickertape.in/stocks/tvs-motor-company-TVSM
176	UBL	https://www.tickertape.in/stocks/united-breweries-UBBW
177	TRENT	https://www.tickertape.in/stocks/trent-TREN
178	TIINDIA	https://www.tickertape.in/stocks/tube-investments-of-india-TBEI
179	UPL	https://www.tickertape.in/stocks/upl-UPLL
180	VEDL	https://www.tickertape.in/stocks/vedanta-VDAN
181	VBL	https://www.tickertape.in/stocks/varun-beverages-VARB
182	ULTRACEMCO	https://www.tickertape.in/stocks/ultratech-cement-ULTC
183	UNIONBANK	https://www.tickertape.in/stocks/union-bank-of-india-UNBK
184	WHIRLPOOL	https://www.tickertape.in/stocks/whirlpool-of-india-WHIR
185	WIPRO	https://www.tickertape.in/stocks/wipro-WIPR
186	VOLTAS	https://www.tickertape.in/stocks/voltas-VOLT
187	ZEEL	https://www.tickertape.in/stocks/zee-entertainment-enterprises-ZEE
188	YESBANK	https://www.tickertape.in/stocks/yes-bank-YESB
189	GLAND	https://www.tickertape.in/stocks/gland-pharma-GLAN
190	IRFC	https://www.tickertape.in/stocks/indian-railway-finance-corporation-IRF
191	SONACOMS	https://www.tickertape.in/stocks/sona-blw-precision-forgings-SONAC
192	ZOMATO	https://www.tickertape.in/stocks/zomato-ZOM
193	DEVYANI	https://www.tickertape.in/stocks/devyani-international-DEVY
194	NYKAA	https://www.tickertape.in/stocks/fsn-e-commerce-ventures-NYK
195	POLICYBZR	https://www.tickertape.in/stocks/pb-fintech-POLI
196	PAYTM	https://www.tickertape.in/stocks/one-97-communications-PAY
197	AWL	https://www.tickertape.in/stocks/adani-wilmar-AWL
198	MSUMI	https://www.tickertape.in/stocks/motherson-sumi-wiring-india-MSU
199	LICI	https://www.tickertape.in/stocks/life-insurance-corporation-of-india-LIC
200	DELHIVERY	https://www.tickertape.in/stocks/delhivery-DELH
